@relation applelaptops 

@attribute productFamily {MacBookPro,MacBook,MacBookAir,MacBookProwithRetinadisplay}
@attribute operatingSystem {MacOSX10.10-Yosemite,MacOSX10.7-Lion,MacOSX10.6-SnowLeopard,MacOSX10,10.10,AppleMacOSX10.7,MacOSX,MacOSX10.9-Mavericks,MacOSX10.8-MountainLion,AppleMacOSX10.5,MacOSX10.5-Leopard,AppleMacOSX10.10-Yosemite,MacOSXYosemite,AllCurrentOS10.10.4oraskIcanloadolderOS,AppleMacOS,MacOSX10.9}
@attribute processorType {IntelCorei52ndGen.,IntelCorei5,IntelCore2Duo,IntelCorei54thGen.,Intel,IntelCorei72ndGen.,Corei7,Quad-coreIntelCorei7,IntelCorei74thGen.,IntelCorei75thGen.,I7,IntelCorei55thGen.,IntelCorei7,IntelCorei71stGen.,IntelQuadCorei7,IntelCorei73rdGen.,IntelDualCore}
@attribute screenSize NUMERIC
@attribute memory NUMERIC
@attribute hardDriveCapacity NUMERIC
@attribute processorSpeed NUMERIC
@attribute productPrice NUMERIC

@data
MacBookPro,MacOSX10.7-Lion,Intel,13.3,4,500,240,569.0
MacBookPro,MacOSX10.7-Lion,Intel,13.3,4,500,240,569.0
MacBookPro,MacOSX10.7-Lion,Intel,13.3,4,500,240,569.0
MacBookPro,MacOSX10.7-Lion,Intel,13.3,4,500,240,569.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei72ndGen.,17,8,256,7220,988.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei72ndGen.,17,8,256,7220,988.0
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,649.99
MacBookPro,MacOSX10.10-Yosemite,Intel,13.3,4,500,250,700.0
MacBookAir,MacOSX10.10-Yosemite,IntelCorei72ndGen.,13.3,4,256,180,549.0
MacBookAir,AppleMacOS,IntelCorei5,11.6,2,64,160,319.99
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,250,240,335.0
MacBookPro,MacOSX10.6-SnowLeopard,IntelCorei52ndGen.,13.3,4,320,230,515.0
MacBookAir,MacOSX10.7-Lion,Intel,13.3,4,128,180,589.0
MacBookAir,MacOSX10.7-Lion,Intel,13.3,4,128,180,589.0
MacBookAir,MacOSX10.7-Lion,Intel,13.3,4,128,180,589.0
MacBookAir,MacOSX10.7-Lion,Intel,13.3,4,128,180,589.0
MacBookAir,MacOSX10.7-Lion,Intel,13.3,4,128,180,589.0
MacBookAir,MacOSX10.7-Lion,Intel,13.3,4,128,180,589.0
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,240,264.99
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,240,264.99
MacBookAir,MacOSX10.10-Yosemite,IntelCorei7,13.3,4,256,18,625.0
MacBookAir,MacOSX10.10-Yosemite,IntelCorei71stGen.,13.3,4,256,18,518.87
MacBookPro,MacOSX10.10-Yosemite,IntelQuadCorei7,15.4,16,7507200,24,965.0
